1705,ABXO,ABAIXO
2099,ABSD,ABASTECIDA
2098,ABSD,ABASTECIDO
1706,ABST,ABASTECIMENTO
1707,ABTM,ABATIMENTO
1395,ABC,ABC
1709,ABER,ABERTA
1708,ABER,ABERTO
2019,ABTR,ABERTURA
1923,ABONO,ABONO
1710,ABGC,ABRANGENCIA
2018,ABRE,ABRE
1376,ABRV,ABREVIADA
1411,ABRV,ABREVIADO
2011,ABLT,ABSOLUTA
2010,ABLT,ABSOLUTO
1954,ABSC,ABSORCAO
1711,ACAD,ACADEMICA
1712,ACAO,ACAO
1902,ACET,ACEITA
1713,ACEI,ACEITE
1901,ACET,ACEITO
1714,ACEL,ACELERACAO
1844,ACTV,ACERTIVIDADE
1715,ACRT,ACERTO
1413,ACSD,ACESSADA
1412,ACSD,ACESSADO
1716,ACES,ACESSO
1361,ACSR,ACESSORIA
1360,ACSR,ACESSORIO
1718,ACDD,ACIDENTADA
1717,ACDD,ACIDENTADO
1719,ACDT,ACIDENTE
